id,title,genres,keywords,overview,cast,crew,vote_average,runtime,release_date,popularity,original_language
80013,Habibie & Ainun,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Romance""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Romance genre, directed by Faozan Rizal. This film features standout performances by Reza Rahadian, Bunga Citra Lestari.","[{""name"": ""Reza Rahadian"", ""character"": """"}, {""name"": ""Bunga Citra Lestari"", ""character"": """"}]","[{""name"": ""Faozan Rizal"", ""job"": ""Director""}]",5.9,106,2025-03-16,27.8,id
80014,Ayat-Ayat Cinta,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Romance""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Romance genre, directed by Hanung Bramantyo. This film features standout performances by Fedi Nuril, Rianti Cartwright.","[{""name"": ""Fedi Nuril"", ""character"": """"}, {""name"": ""Rianti Cartwright"", ""character"": """"}]","[{""name"": ""Hanung Bramantyo"", ""job"": ""Director""}]",6.5,165,2009-12-18,47.9,id
80015,Ada Apa Dengan Cinta?,"[{""id"": 0, ""name"": ""Romance""}, {""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Romance, Drama genre, directed by Rudi Soedjarwo. This film features standout performances by Dian Sastrowardoyo, Nicholas Saputra.","[{""name"": ""Dian Sastrowardoyo"", ""character"": """"}, {""name"": ""Nicholas Saputra"", ""character"": """"}]","[{""name"": ""Rudi Soedjarwo"", ""job"": ""Director""}]",6.3,88,2017-07-29,58.0,id
80016,Ada Apa Dengan Cinta 2,"[{""id"": 0, ""name"": ""Romance""}, {""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Romance, Drama genre, directed by Riri Riza. This film features standout performances by Dian Sastrowardoyo, Nicholas Saputra.","[{""name"": ""Dian Sastrowardoyo"", ""character"": """"}, {""name"": ""Nicholas Saputra"", ""character"": """"}]","[{""name"": ""Riri Riza"", ""job"": ""Director""}]",7.8,156,2004-09-24,80.8,id
80017,Gundala,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Sci-Fi""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Sci-Fi genre, directed by Joko Anwar. This film features standout performances by Abimana Aryasatya, Tara Basro.","[{""name"": ""Abimana Aryasatya"", ""character"": """"}, {""name"": ""Tara Basro"", ""character"": """"}]","[{""name"": ""Joko Anwar"", ""job"": ""Director""}]",6.2,121,2002-10-22,12.4,id
80018,Impetigore,"[{""id"": 0, ""name"": ""Horror""}, {""id"": 1, ""name"": ""Mystery""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror, Mystery genre, directed by Joko Anwar. This film features standout performances by Tara Basro, Marissa Anita.","[{""name"": ""Tara Basro"", ""character"": """"}, {""name"": ""Marissa Anita"", ""character"": """"}]","[{""name"": ""Joko Anwar"", ""job"": ""Director""}]",7.0,116,2005-08-02,28.1,id
80019,The Big 4,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Comedy""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Comedy genre, directed by Timo Tjahjanto. This film features standout performances by Abimana Aryasatya, Putri Marino.","[{""name"": ""Abimana Aryasatya"", ""character"": """"}, {""name"": ""Putri Marino"", ""character"": """"}]","[{""name"": ""Timo Tjahjanto"", ""job"": ""Director""}]",8.6,159,2006-08-04,69.6,id
80020,Dilan 1990,"[{""id"": 0, ""name"": ""Romance""}, {""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Romance, Drama genre, directed by Fajar Bustomi. This film features standout performances by Iqbaal Ramadhan, Vanesha Prescilla.","[{""name"": ""Iqbaal Ramadhan"", ""character"": """"}, {""name"": ""Vanesha Prescilla"", ""character"": """"}]","[{""name"": ""Fajar Bustomi"", ""job"": ""Director""}]",7.8,163,2024-04-17,50.1,id
80021,Dilan 1991,"[{""id"": 0, ""name"": ""Romance""}, {""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Romance, Drama genre, directed by Fajar Bustomi. This film features standout performances by Iqbaal Ramadhan, Vanesha Prescilla.","[{""name"": ""Iqbaal Ramadhan"", ""character"": """"}, {""name"": ""Vanesha Prescilla"", ""character"": """"}]","[{""name"": ""Fajar Bustomi"", ""job"": ""Director""}]",5.7,86,2002-04-11,18.7,id
80022,Milea: Suara dari Dilan,"[{""id"": 0, ""name"": ""Romance""}, {""id"": 1, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Romance, Drama genre, directed by Fajar Bustomi. This film features standout performances by Iqbaal Ramadhan, Vanesha Prescilla.","[{""name"": ""Iqbaal Ramadhan"", ""character"": """"}, {""name"": ""Vanesha Prescilla"", ""character"": """"}]","[{""name"": ""Fajar Bustomi"", ""job"": ""Director""}]",5.8,146,2024-01-17,77.1,id
80023,Stealing Raden Saleh,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Heist""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Heist genre, directed by Angga Dwimas Sasongko. This film features standout performances by Iqbaal Ramadhan, Angga Yunanda.","[{""name"": ""Iqbaal Ramadhan"", ""character"": """"}, {""name"": ""Angga Yunanda"", ""character"": """"}]","[{""name"": ""Angga Dwimas Sasongko"", ""job"": ""Director""}]",8.5,152,2021-04-07,72.0,id
80024,Nanti Kita Cerita Tentang Hari Ini,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Family""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Family genre, directed by Angga Dwimas Sasongko. This film features standout performances by Rachel Amanda, Rio Dewanto.","[{""name"": ""Rachel Amanda"", ""character"": """"}, {""name"": ""Rio Dewanto"", ""character"": """"}]","[{""name"": ""Angga Dwimas Sasongko"", ""job"": ""Director""}]",5.9,119,2003-12-28,38.2,id
80025,Sayap Sayap Patah,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Action""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Action genre, directed by Rudi Soedjarwo. This film features standout performances by Nicholas Saputra, Ariel Tatum.","[{""name"": ""Nicholas Saputra"", ""character"": """"}, {""name"": ""Ariel Tatum"", ""character"": """"}]","[{""name"": ""Rudi Soedjarwo"", ""job"": ""Director""}]",6.3,100,2016-08-18,35.2,id
80026,Sewu Dino,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Kimo Stamboel. This film features standout performances by Mikha Tambayong, Rio Dewanto.","[{""name"": ""Mikha Tambayong"", ""character"": """"}, {""name"": ""Rio Dewanto"", ""character"": """"}]","[{""name"": ""Kimo Stamboel"", ""job"": ""Director""}]",6.4,101,2019-07-03,44.7,id
80027,Di Ambang Kematian,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Azhar Kinoi Lubis. This film features standout performances by Taskya Namya, Wafda Saifan.","[{""name"": ""Taskya Namya"", ""character"": """"}, {""name"": ""Wafda Saifan"", ""character"": """"}]","[{""name"": ""Azhar Kinoi Lubis"", ""job"": ""Director""}]",6.0,108,2016-07-21,33.5,id
80028,Siksa Neraka,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Anggy Umara. This film features standout performances by Kiesha Alvaro, Ariyo Wahab.","[{""name"": ""Kiesha Alvaro"", ""character"": """"}, {""name"": ""Ariyo Wahab"", ""character"": """"}]","[{""name"": ""Anggy Umara"", ""job"": ""Director""}]",6.7,143,2008-11-11,47.6,id
80029,Mencuri Raden Saleh,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Crime""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Crime genre, directed by Angga Dwimas Sasongko. This film features standout performances by Iqbaal Ramadhan, Angga Yunanda.","[{""name"": ""Iqbaal Ramadhan"", ""character"": """"}, {""name"": ""Angga Yunanda"", ""character"": """"}]","[{""name"": ""Angga Dwimas Sasongko"", ""job"": ""Director""}]",7.7,137,2002-07-30,54.0,id
80030,Suzanna: Bernapas dalam Kubur,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Rocky Soraya. This film features standout performances by Luna Maya, Herjunot Ali.","[{""name"": ""Luna Maya"", ""character"": """"}, {""name"": ""Herjunot Ali"", ""character"": """"}]","[{""name"": ""Rocky Soraya"", ""job"": ""Director""}]",6.9,168,2000-04-28,72.4,id
80031,Sang Penari,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""History""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, History genre, directed by Ifa Isfansyah. This film features standout performances by Prisia Nasution, Oka Antara.","[{""name"": ""Prisia Nasution"", ""character"": """"}, {""name"": ""Oka Antara"", ""character"": """"}]","[{""name"": ""Ifa Isfansyah"", ""job"": ""Director""}]",6.4,134,2002-07-02,41.3,id
80032,Photocopier,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Mystery""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Mystery genre, directed by Wregas Bhanuteja. This film features standout performances by Shenina Cinnamon, Chicco Kurniawan.","[{""name"": ""Shenina Cinnamon"", ""character"": """"}, {""name"": ""Chicco Kurniawan"", ""character"": """"}]","[{""name"": ""Wregas Bhanuteja"", ""job"": ""Director""}]",8.7,113,2021-09-01,51.0,id
80033,Yuni,"[{""id"": 0, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama genre, directed by Kamila Andini. This film features standout performances by Arawinda Kirana, Kevin Ardilova.","[{""name"": ""Arawinda Kirana"", ""character"": """"}, {""name"": ""Kevin Ardilova"", ""character"": """"}]","[{""name"": ""Kamila Andini"", ""job"": ""Director""}]",6.1,97,2015-10-05,32.4,id
80034,"Before, Now & Then","[{""id"": 0, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama genre, directed by Kamila Andini. This film features standout performances by Happy Salma, Laura Basuki.","[{""name"": ""Happy Salma"", ""character"": """"}, {""name"": ""Laura Basuki"", ""character"": """"}]","[{""name"": ""Kamila Andini"", ""job"": ""Director""}]",6.3,120,2020-06-25,9.1,id
80035,Marlina the Murderer in Four Acts,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Western""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Western genre, directed by Mouly Surya. This film features standout performances by Marsha Timothy, Dea Panendra.","[{""name"": ""Marsha Timothy"", ""character"": """"}, {""name"": ""Dea Panendra"", ""character"": """"}]","[{""name"": ""Mouly Surya"", ""job"": ""Director""}]",7.3,97,2019-03-31,23.1,id
80036,The Night Comes for Us,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Thriller""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Thriller genre, directed by Timo Tjahjanto. This film features standout performances by Joe Taslim, Iko Uwais.","[{""name"": ""Joe Taslim"", ""character"": """"}, {""name"": ""Iko Uwais"", ""character"": """"}]","[{""name"": ""Timo Tjahjanto"", ""job"": ""Director""}]",8.5,93,2015-05-22,24.6,id
80037,Headshot,"[{""id"": 0, ""name"": ""Action""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action genre, directed by The Mo Brothers. This film features standout performances by Iko Uwais, Chelsea Islan.","[{""name"": ""Iko Uwais"", ""character"": """"}, {""name"": ""Chelsea Islan"", ""character"": """"}]","[{""name"": ""The Mo Brothers"", ""job"": ""Director""}]",8.7,120,2014-01-30,97.0,id
80038,Macabre,"[{""id"": 0, ""name"": ""Horror""}, {""id"": 1, ""name"": ""Slasher""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror, Slasher genre, directed by The Mo Brothers. This film features standout performances by Shareefa Daanish, Julie Estelle.","[{""name"": ""Shareefa Daanish"", ""character"": """"}, {""name"": ""Julie Estelle"", ""character"": """"}]","[{""name"": ""The Mo Brothers"", ""job"": ""Director""}]",7.3,128,2024-04-23,20.0,id
80039,Susi Susanti: Love All,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Sport""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Sport genre, directed by Sim F. This film features standout performances by Laura Basuki, Dion Wiyoko.","[{""name"": ""Laura Basuki"", ""character"": """"}, {""name"": ""Dion Wiyoko"", ""character"": """"}]","[{""name"": ""Sim F"", ""job"": ""Director""}]",5.7,144,2020-11-16,57.7,id
80040,27 Steps of May,"[{""id"": 0, ""name"": ""Drama""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama genre, directed by Ravi Bharwani. This film features standout performances by Raihaanun, Lukman Sardi.","[{""name"": ""Raihaanun"", ""character"": """"}, {""name"": ""Lukman Sardi"", ""character"": """"}]","[{""name"": ""Ravi Bharwani"", ""job"": ""Director""}]",7.1,123,2003-01-06,29.1,id
80041,Danur: I Can See Ghosts Part 2,"[{""id"": 0, ""name"": ""Horror""}, {""id"": 1, ""name"": ""Mystery""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror, Mystery genre, directed by Awi Suryadi. This film features standout performances by Prilly Latuconsina, Shareefa Daanish.","[{""name"": ""Prilly Latuconsina"", ""character"": """"}, {""name"": ""Shareefa Daanish"", ""character"": """"}]","[{""name"": ""Awi Suryadi"", ""job"": ""Director""}]",8.2,133,2024-06-07,32.7,id
80042,Danur 2: Maddah Part 2,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Awi Suryadi. This film features standout performances by Prilly Latuconsina, Sophia Latjuba.","[{""name"": ""Prilly Latuconsina"", ""character"": """"}, {""name"": ""Sophia Latjuba"", ""character"": """"}]","[{""name"": ""Awi Suryadi"", ""job"": ""Director""}]",8.3,138,2006-07-03,50.3,id
80043,Danur 3: Sunyaruri Part 2,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Awi Suryadi. This film features standout performances by Prilly Latuconsina, Rizky Nazar.","[{""name"": ""Prilly Latuconsina"", ""character"": """"}, {""name"": ""Rizky Nazar"", ""character"": """"}]","[{""name"": ""Awi Suryadi"", ""job"": ""Director""}]",7.1,90,2002-06-12,59.5,id
80044,Asih Part 2,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Awi Suryadi. This film features standout performances by Shareefa Daanish, Citra Kirana.","[{""name"": ""Shareefa Daanish"", ""character"": """"}, {""name"": ""Citra Kirana"", ""character"": """"}]","[{""name"": ""Awi Suryadi"", ""job"": ""Director""}]",8.6,171,2021-07-01,94.1,id
80045,Ivanna Part 2,"[{""id"": 0, ""name"": ""Horror""}, {""id"": 1, ""name"": ""Thriller""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror, Thriller genre, directed by Kimo Stamboel. This film features standout performances by Caitlin Halderman, Jovarel Callum.","[{""name"": ""Caitlin Halderman"", ""character"": """"}, {""name"": ""Jovarel Callum"", ""character"": """"}]","[{""name"": ""Kimo Stamboel"", ""job"": ""Director""}]",5.5,143,2019-03-24,33.4,id
80046,Agak Laen Part 2,"[{""id"": 0, ""name"": ""Comedy""}, {""id"": 1, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Comedy, Horror genre, directed by Muhadkly Acho. This film features standout performances by Bene Dion, Boris Bokir.","[{""name"": ""Bene Dion"", ""character"": """"}, {""name"": ""Boris Bokir"", ""character"": """"}]","[{""name"": ""Muhadkly Acho"", ""job"": ""Director""}]",8.2,90,2004-02-04,34.9,id
80047,KKN di Desa Penari Part 2,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Awi Suryadi. This film features standout performances by Tissa Biani, Adinda Thomas.","[{""name"": ""Tissa Biani"", ""character"": """"}, {""name"": ""Adinda Thomas"", ""character"": """"}]","[{""name"": ""Awi Suryadi"", ""job"": ""Director""}]",7.7,90,2009-06-26,25.1,id
80048,The Raid: Redemption Part 2,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Thriller""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Thriller genre, directed by Gareth Evans. This film features standout performances by Iko Uwais, Joe Taslim.","[{""name"": ""Iko Uwais"", ""character"": """"}, {""name"": ""Joe Taslim"", ""character"": """"}]","[{""name"": ""Gareth Evans"", ""job"": ""Director""}]",8.7,98,2002-05-01,34.4,id
80049,The Raid 2 Part 2,"[{""id"": 0, ""name"": ""Action""}, {""id"": 1, ""name"": ""Crime""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Action, Crime genre, directed by Gareth Evans. This film features standout performances by Iko Uwais, Arifin Putra.","[{""name"": ""Iko Uwais"", ""character"": """"}, {""name"": ""Arifin Putra"", ""character"": """"}]","[{""name"": ""Gareth Evans"", ""job"": ""Director""}]",7.6,122,2013-03-08,67.4,id
80050,Pengabdi Setan Part 2,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Joko Anwar. This film features standout performances by Tara Basro, Bront Palarae.","[{""name"": ""Tara Basro"", ""character"": """"}, {""name"": ""Bront Palarae"", ""character"": """"}]","[{""name"": ""Joko Anwar"", ""job"": ""Director""}]",5.9,95,2011-12-03,51.5,id
80051,Pengabdi Setan 2: Communion Part 2,"[{""id"": 0, ""name"": ""Horror""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Horror genre, directed by Joko Anwar. This film features standout performances by Tara Basro, Endy Arfian.","[{""name"": ""Tara Basro"", ""character"": """"}, {""name"": ""Endy Arfian"", ""character"": """"}]","[{""name"": ""Joko Anwar"", ""job"": ""Director""}]",8.2,173,2002-11-21,15.3,id
80052,Laskar Pelangi Part 2,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Family""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Family genre, directed by Riri Riza. This film features standout performances by Cut Mini, Ikranagara.","[{""name"": ""Cut Mini"", ""character"": """"}, {""name"": ""Ikranagara"", ""character"": """"}]","[{""name"": ""Riri Riza"", ""job"": ""Director""}]",7.9,100,2007-07-14,78.9,id
80053,Habibie & Ainun Part 2,"[{""id"": 0, ""name"": ""Drama""}, {""id"": 1, ""name"": ""Romance""}]","[{""id"": 1, ""name"": ""indonesian movie""}, {""id"": 2, ""name"": ""popular cinema""}]","A major production in the Drama, Romance genre, directed by Faozan Rizal. This film features standout performances by Reza Rahadian, Bunga Citra Lestari.","[{""name"": ""Reza Rahadian"", ""character"": """"}, {""name"": ""Bunga Citra Lestari"", ""character"": """"}]","[{""name"": ""Faozan Rizal"", ""job"": ""Director""}]",7.8,85,2005-02-08,55.6,id
